,id,assetcode,windowtimestamp,datatype,systemversion,mentions,buzz,sentiment,negative,positive,optimism,pessimism,joy,lovehate,trust,anger,disagreement,fear,gloom,stress,violence,surprise,timeurgency,uncertainty,emotionvsfact,shortvslongterm,marketrisk,longshort,longshortforecast,pricedirection,pricedown,priceforecast,priceup,pricemomentum,topvsbottom,overvaluedvsundervalued,volatility,adoption,adoptionforecast,anonymity,attack,codesentiment,codeupgrade,criminalactivity,developersentiment,fomo,fork,forkforecast,hodl,innovation,litigation,majorityattack,noobs,regulatorycrackdown,regulatoryissues,scam,transactionspeed,vulnerability,partnership,futurevspast,windowtimestamp1,windowtimestamp2,date,close,r_BTC_USD,R_BTC_USD,volume_BTC_USD
0,mp:2014-09-17_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-17T19:30:00.000Z,News_Social,MP:4.0.0,1403,4294.2998,0.117598,0.195142,0.31274,0.065784998,0.038307,0.008267,0.01339,0.014671,0.006986,0.026314,0.004075,0.010945,0.034464002,0.010712,0.001747,0.020958001,0.018302999,0.40312701,0.010945,0.017464999,-0.000466,0.000349,0.008034,0.014438,0.000815,0.022472,-0.000699,-0.006404,-0.001048,0.007102,0.015951,0.00326,0.003959,0.008616,0.000699,0.000466,0.011527,0.00163,0.000375107,0.001434371,0.000454451,0.000466,0.010712,0.00326,0.000209797,0.000504439,0.000233,0.006986,0.000233,0.000931,0.000116,0.002794,-0.206599,9/17/2014,19:30:00.000Z,17-Sep-14,457.334015,,,21056800.0
1,mp:2014-09-18_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-18T19:30:00.000Z,News_Social,MP:4.0.0,1406,3564.8501,0.036607001,0.217821,0.25442901,0.056244001,0.056805,0.007153,0.004488,0.013745,0.007293,0.013325,0.00519,0.018935001,0.035064999,0.009117,0.003647,0.020337,0.024657,0.348037,0.001262,0.015288,-0.004348,-0.002244,0.013044,0.020757999,0.000421,0.033801999,0.00014,-0.002805,-0.000561,0.008626,0.025387,0.002525,0.001683,0.002945,0.000561,0.000281,0.006873,0.001403,0.000375107,0.001434371,0.000454451,0.000281,0.006592,0.001122,0.000209797,0.001122,0.002244,0.012483,0.001543,0.003226,0.000561,0.001122,-0.110832,9/18/2014,19:30:00.000Z,18-Sep-14,424.440002,-0.074643351,-0.071925581,34483200.0
2,mp:2014-09-19_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-19T19:30:00.000Z,News_Social,MP:4.0.0,1704,5444.1499,-0.073932998,0.273229,0.199296,0.052625,0.034348998,0.007807,0.003214,-0.013409,0.007623,0.023052,0.004408,0.029206,0.039308,0.006245,0.002663,-0.000643,0.025660999,0.28551701,-0.003031,0.011939,-0.008633,0.000276,-0.012766,0.034991998,-0.000367,0.022226,-0.004133,-0.007898,0.000367,0.015383,0.015705001,0.002939,0.002021,0.001837,0.000184,0.001286,0.004959,0.001378,0.000375107,0.001434371,0.000454451,0.001475236,0.006613,0.006613,0.000209797,0.000184,0.000276,0.013501,0.005327,0.000367,0.000184,0.000367,-0.23437101,9/19/2014,19:30:00.000Z,19-Sep-14,394.79599,-0.072401509,-0.069842644,37919700.0
3,mp:2014-09-20_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-20T19:30:00.000Z,News_Social,MP:4.0.0,1186,3603.1499,-0.046209998,0.245896,0.19968601,0.052037999,0.032609999,0.004996,0.001388,-0.028031001,0.010824,0.015819,0.005967,0.026505001,0.047736,0.004996,0.002498,0.006383,0.026753999,0.343422,0.002637,0.018595001,-0.008465,0.00111,-0.00222,0.025394,0.001665,0.023174001,-0.001526,-0.004579,-0.00019983,0.013669,0.017068001,0.001526,0.001943,0.000833,-0.000833,0.000278,0.00333,-0.001388,0.000375107,0.000278,0.000454451,0.000278,0.00333,0.011518,0.000555,0.000555,0.002082,0.014709,0.006106,0.000555,0.000555,0.00222,-0.224609,9/20/2014,19:30:00.000Z,20-Sep-14,408.903992,0.035111241,0.035734918,36863600.0
4,mp:2014-09-21_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-21T19:30:00.000Z,News_Social,MP:4.0.0,937,1590.7,0.028604001,0.20997,0.238574,0.06318,0.070409,0.005344,0.003143,-0.001886,0.004086,0.022631999,0.005972,0.017602,0.038034,0.005029,0.003458,0.005029,0.038536001,0.38775399,0.00723,0.007544,-0.001257,-0.001886,-0.000943,0.019487999,-0.000943,0.018545,-0.005344,-0.004401,-0.00019983,0.013516,0.011944,0.004086,0.008801,0.004401,0.000756285,0.001886,0.006915,0.001886,0.000375107,0.001434371,0.000454451,0.001475236,0.006601,0.001886,0.000209797,0.000504439,0.001257,0.010058,0.003772,0.000629,-0.000314,0.000613939,0.016659001,9/21/2014,19:30:00.000Z,21-Sep-14,398.821014,-0.024967661,-0.024658546,26580100.0
5,mp:2014-09-22_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-22T19:30:00.000Z,News_Social,MP:4.0.0,1270,3495.2,0.056791998,0.21000201,0.266794,0.049067002,0.031328999,0.005293,0.004435,0.015736001,0.004864,0.019169001,0.005722,0.01216,0.038338002,0.010729,0.002003,0.020457,0.031472001,0.40119299,0.00186,0.02575,0.001287,-0.001144,0.012446,0.01545,0.004292,0.027895,0.000858,-0.009155,-0.000143,0.016308,0.014591,0.003147,0.001574,0.004864,0.002289,0.000286,0.009728,0.000858,0.000375107,0.001434371,0.000454451,0.000286,0.005722,0.004864,0.001144,0.000504439,0.004578,0.013161,0.003147,0.002003,0.000572,0.001431,-0.232962,9/22/2014,19:30:00.000Z,22-Sep-14,402.152008,0.008317417,0.008352103,24127600.0
6,mp:2014-09-23_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-23T19:30:00.000Z,News_Social,MP:4.0.0,1481,5526.6499,-0.047316,0.250604,0.203288,0.056997001,0.056363001,0.010856,0.009499,-0.018998999,0.011128,0.035284001,0.002986,0.018366,0.046231002,0.009952,0.002986,-0.003619,0.021062,0.397185,0.002805,0.006966,-0.001448,0.000905,0.006062,0.01547,-0.000362,0.021531999,0.001267,-0.002895,9e-05,0.010268,0.015018,0.003528,0.000724,0.00199,-0.000452,0.000181,0.004704,0.000543,0.000375107,0.001628,0.000724,0.001475236,0.004433,0.010676,0.000724,0.000504439,0.000724,0.028136,0.008957,-0.000181,0.000633,0.001267,-0.153511,9/23/2014,19:30:00.000Z,23-Sep-14,435.790985,0.080332592,0.083647415,45099500.0
7,mp:2014-09-24_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-24T19:30:00.000Z,News_Social,MP:4.0.0,1587,5271.3999,-0.00332,0.223755,0.22043499,0.068198003,0.044296,0.011287,0.008821,-0.032155,0.010623,0.037751,0.003415,0.014323,0.035094999,0.010908,0.00313,-0.006355,0.018248999,0.33158201,0.009011,0.015556,-0.006924,0.001518,0.012426,0.009485,0.001518,0.021911001,9.5e-05,-0.002087,0.00019,0.009675,0.01565,0.003794,0.000759,0.001328,0.000379,0.001897,0.005122,0.000379,0.000375107,0.001434371,0.000454451,0.001475236,0.004553,0.020109,0.000209797,0.000504439,0.002466,0.041166,0.007493,0.001138,0.000830972,0.003225,-0.194958,9/24/2014,19:30:00.000Z,24-Sep-14,423.204987,-0.029306071,-0.028880812,30627700.0
8,mp:2014-09-25_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-25T19:30:00.000Z,News_Social,MP:4.0.0,1313,3475.75,0.0082,0.219809,0.228008,0.049198002,0.034093,0.007193,0.003884,-0.005179,0.004603,0.029921999,0.004172,0.017694,0.037976999,0.011652,0.005323,0.012515,0.025462,0.331871,0.001582,0.016687,0.001007,0.000144,0.00561,0.018701,0.002302,0.024311,-0.000575,-0.002877,-0.000575,0.018485,0.018413,0.004028,0.00187,0.004316,0.000288,0.001580883,0.006761,0.006042,0.000375107,0.001434371,0.000454451,0.001475236,0.00748,0.008344,0.000209797,0.000504439,0.002302,0.01942,0.005035,0.001582,0.001726,0.000575,-0.203179,9/25/2014,19:30:00.000Z,25-Sep-14,411.574005,-0.027867818,-0.027483093,26814400.0
9,mp:2014-09-26_19.30.00.News_Social.CRYPTO.BITCOIN,BITCOIN,2014-09-26T19:30:00.000Z,News_Social,MP:4.0.0,1291,2998.0,0.019179,0.215644,0.234823,0.049867,0.038525999,0.005337,0.002001,0.02018,0.008672,0.031521,0.007839,0.009173,0.047532,0.016678,0.004336,0.012175,0.022682,0.43378901,0.013175,0.004003,-0.008172,0.000167,0.006838,0.016678,0.005003,0.023515999,0.001167,-0.012842,-0.001001,0.011674,0.011007,0.002335,0.004003,0.000667,0.000667,0.002335,0.006338,-0.007338,0.000375107,0.001434371,0.000454451,0.001475236,0.005003,0.005337,0.000667,0.000504439,0.001001,0.017345,0.0005,0.000407513,0.003336,0.000667,-0.17561699,9/26/2014,19:30:00.000Z,26-Sep-14,404.424988,-0.01752257,-0.017369943,21460800.0
