,Date,Open,High,Low,Close,Adj Close,Volume,dateFormatted,MoneyFlowVolume,accumulation_distribution_indicator,Aroon_up,Aroon_down,Aroon_oscillator,Adj Open,Adj High,Adj Low,adx_pos_directional_indicator,adx_neg_directional_indicator,avg. Directional index,avg.True Range,upper_Bollinger_Bands,lower_Bollinger_Bands,simple_moving_avg_20,Chaikin money flow,chaikin_oscillator,Commodity Channel Index,Coppock Curve,Ease of Movement,Ease of Movement MA,ForceIndex,mass_index,Moving Average Convergence/Divergence,Moving Average Convergence/Divergence_signal,Moving Average Convergence/Divergence_hist,money flow index,PercentagePriceOscillator,PercentagePriceOscillator_hist,PercentagePriceOscillator_signal,PercentageVolumeOscillator,PercentageVolumeOscillator_hist,PercentageVolumeOscillator_signal,Know Sure Thing,KST_signal,Rate of change,Relative Strength Index,volatility/sd,%K-FAST Stochastic indicator,%D- slow stochastic indicator,Trix,ulcer_index,UltimateOscillator,VortexIndicator_diff,VortexIndicator_neg,VortexIndicator_pos,WilliamsR
0,2014-09-17,465.864013671875,468.17401123046875,452.4219970703125,457.3340148925781,457.3340148925781,21056800,17sep2014,-7924336.325417214,-7924336.325417214,,,,465.864013671875,468.17401123046875,452.4219970703125,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.44000244140625,424.44000244140625,34483200,18sep2014,-16615859.728999104,-24540196.054416317,,,,456.8599853515625,456.8599853515625,413.10400390625,0.0,0.0,0.0,,,,,,-791231.415666623,,,-3212.366726091038,,,0.0,-2.6240237852786663,-0.5248047570557333,-2.099219028222933,,,,,,,,,,,,,,,,,,,,,
2,2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,394.7959899902344,37919700,19sep2014,-19943711.099741217,-44483907.154157534,,,,424.1029968261719,427.8349914550781,384.5320129394531,0.0,0.0,0.0,,,,,,-2311907.753351543,,,-3288.687671710808,,,0.0,-7.01474399736793,-1.8227926051181726,-5.1919513922497575,,,,,,,,,,,,,,,,,,,,,
3,2014-09-20,394.6730041503906,423.2959899902344,389.88299560546875,408.90399169921875,408.90399169921875,36863600,20sep2014,5107040.734986669,-39376866.419170864,,,,394.6730041503906,423.2959899902344,389.88299560546875,0.0,0.0,0.0,,,,,,-2458149.364509497,,,36.79879788638536,,,0.0,-9.249402215269697,-3.3081145271484775,-5.9412876881212195,,,,,,,,,,,,,,,,,,,,,
4,2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,398.8210144042969,26580100,21sep2014,-11000760.806190733,-50377627.2253616,,,,408.0849914550781,412.4259948730469,393.1809997558594,0.0,0.0,0.0,,,,,,-3408522.6245971695,,,-274.12035542265403,,,0.0,-11.699136589399927,-4.9863189395987675,-6.71281764980116,,,,,,,,,,,,,,,,,,,,,
5,2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,402.1520080566406,24127600,22sep2014,636170.4135442687,-49741456.81181733,,,,399.1000061035156,406.9159851074219,397.1300048828125,0.0,0.0,0.0,,,,,,-3758862.8767657503,,,-31.65661011573151,,,0.0,-13.219400362227873,-6.632935224124589,-6.586465138103284,,,,,,,,,,,,,,,,,,,,,
6,2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,435.7909851074219,45099500,23sep2014,33633688.44934292,-16107768.362474412,,,,402.0920104980469,441.5570068359375,396.1969909667969,0.0,0.0,0.0,,,,,,-422088.7611079216,,,1695.1360539386426,,,0.0,-11.5763906148116,-7.621626302261992,-3.9547643125496084,,,,,,,,,,,,,,,,,,,,,
7,2014-09-24,435.7510070800781,436.11199951171875,421.1319885253906,423.2049865722656,423.2049865722656,30627700,24sep2014,-22150915.52524625,-38258683.88772066,,,,435.7510070800781,436.11199951171875,421.1319885253906,0.0,0.0,0.0,,,,,,-750997.1373430341,,,476.62780397216466,,,0.0,-11.161218865482965,-8.329544814906187,-2.831674050576778,,,,,,,,,,,,,,,,,,,,,
8,2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,411.5740051269531,26814400,25sep2014,-18776881.78327571,-57035565.67099637,,,,423.156005859375,423.5199890136719,409.4679870605469,0.0,0.0,0.0,,,,,,-3046756.838873759,,,-635.56433759018,,,0.0,-11.636576056199374,-8.990951063164825,-2.6456249930345486,,,,,,,,,,,,,,,,,,,,,
9,2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.42498779296875,404.42498779296875,21460800,26sep2014,-8764616.11184134,-65800181.782837704,,,,411.4289855957031,414.93798828125,400.0090026855469,0.0,0.0,0.0,,,,,,-5453849.7174773365,,,-627.5013205495503,,,0.0,-12.44668833133835,-9.682098516799531,-2.7645898145388195,,,,,,,,,,,,,,,,,,,,,
